x,y,curvature
0.0,0.0,0.0000
0.0,50.0,0.0000
0.0,100.0,0.0000
0.0,150.0,0.0000
0.0,200.0,0.0000
0.0,250.0,0.0000
0.0,300.0,0.0000
0.0,350.0,0.0000
0.0,400.0,0.0000
0.0,450.0,0.0000
0.0,500.0,0.0000
0.0,550.0,0.0000
0.0,600.0,0.0000
0.0,650.0,0.0000
0.0,700.0,0.0000
0.0,750.0,0.0000
0.0,800.0,0.0000
0.0,850.0,0.0000
1.0,856.3,-0.0500
4.0,862.0,-0.0500
8.6,866.5,-0.0500
13.2,870.9,0.0500
16.1,876.6,0.0500
17.1,882.9,0.0500
17.1,932.9,0.0000
17.1,982.9,0.0000
17.1,1032.9,0.0000
17.1,1082.9,0.0000
17.1,1132.9,0.0000
17.1,1182.9,0.0000
17.1,1232.9,0.0000
21.4,1281.6,-0.0036
34.0,1328.8,-0.0036
54.7,1373.1,-0.0036
82.7,1413.1,-0.0036
117.3,1447.7,-0.0036
157.3,1475.7,-0.0036
201.6,1496.4,-0.0036
248.8,1509.0,-0.0036
298.0,1517.7,0.0000
347.3,1526.4,0.0000
396.5,1535.0,0.0000
445.8,1543.7,0.0000
495.0,1552.4,0.0000
544.2,1561.1,0.0000
593.5,1569.8,0.0000
642.7,1578.5,0.0000
692.0,1587.1,0.0000
697.8,1588.9,0.0385
703.0,1591.9,0.0385
707.4,1596.1,0.0385
711.8,1600.2,-0.0385
717.0,1603.2,-0.0385
722.8,1605.0,-0.0385
772.1,1613.7,0.0000
821.3,1622.3,0.0000
870.6,1631.0,0.0000
919.8,1639.7,0.0000
944.2,1639.7,-0.0143
967.2,1631.3,-0.0143
985.9,1615.6,-0.0143
1018.1,1577.3,0.0000
1050.2,1539.0,0.0000
1082.3,1500.7,0.0000
1114.5,1462.4,0.0000
1124.1,1445.8,-0.0182
1127.4,1426.9,-0.0182
1124.1,1408.0,-0.0182
1107.0,1361.0,0.0000
1089.9,1314.0,0.0000
1072.8,1267.0,0.0000
1055.7,1220.0,0.0000
1038.6,1173.1,0.0000
1021.5,1126.1,0.0000
1004.4,1079.1,0.0000
987.3,1032.1,0.0000
970.2,985.1,0.0000
968.4,978.2,0.0286
968.1,971.1,0.0286
969.2,964.1,0.0286
970.4,957.0,-0.0286
970.1,949.9,-0.0286
968.3,943.0,-0.0286
951.2,896.0,0.0000
934.1,849.0,0.0000
917.0,802.0,0.0000
899.9,755.1,0.0000
882.8,708.1,0.0000
865.7,661.1,0.0000
848.6,614.1,0.0000
831.5,567.1,0.0000
814.4,520.1,0.0000
797.3,473.1,0.0000
780.2,426.2,0.0000
763.1,379.2,0.0000
746.0,332.2,0.0000
728.9,285.2,0.0000
711.8,238.2,0.0000
694.7,191.2,0.0000
677.6,144.3,0.0000
660.5,97.3,0.0000
643.4,50.3,0.0000
626.3,3.3,0.0000
609.2,-43.7,0.0000
592.1,-90.7,0.0000
577.2,-131.6,0.0000
556.8,-175.9,-0.0034
529.4,-216.3,-0.0034
495.8,-251.7,-0.0034
456.9,-281.1,-0.0034
413.6,-303.8,-0.0034
367.3,-319.1,-0.0034
319.0,-326.6,-0.0034
270.2,-326.0,-0.0034
222.1,-317.6,-0.0034
176.1,-301.3,-0.0034
133.3,-277.8,-0.0034
95.0,-247.6,-0.0034
62.1,-211.5,-0.0034
35.6,-170.6,-0.0034
16.1,-125.8,-0.0034
4.2,-78.5,-0.0034
0.2,-29.8,-0.0034
0.2,0.0,0.0000
0.0,0.0,0.0000
